train_no,type,is_express,ms,origin,dest,start_time,end_time,duration_str,dist_km,stops_count,skipped_count,speed_kmh,sdi,note
238,自強,True,,樹林,花蓮,15:33,19:12,3時39分,122.60000000000001,18,8,33.59,14.68,
434,自強3000,True,,樹林,新左營,15:41,23:04,7時23分,352.9,32,37,47.8,9.07,花東民眾實名優先購票班次
442,自強3000,True,,樹林,臺東,16:44,21:40,4時56分,278.0,22,25,56.35,7.91,
436,自強3000,True,,樹林,臺東,17:41,22:05,4時24分,278.0,10,37,63.18,3.6,逢週五至日行駛。
438,自強3000,True,,樹林,臺東,18:13,22:45,4時32分,278.0,14,33,61.32,5.04,
246,自強,True,,樹林,花蓮,18:18,22:00,3時42分,122.60000000000001,15,11,33.14,12.23,
250,自強3000,True,,樹林,花蓮,18:44,21:32,2時48分,122.60000000000001,8,18,43.79,6.53,逢週五、日行駛。
248,太魯閣,True,,樹林,花蓮,19:04,21:43,2時39分,122.60000000000001,8,18,46.26,6.53,
448,普悠瑪,True,,樹林,臺東,19:45,00:15,4時30分,278.0,19,28,61.78,6.83,在臺東跨日。
252,自強3000,True,,樹林,壽豐,20:17,23:33,3時16分,139.2,15,15,42.61,10.78,
256,普悠瑪,True,,樹林,花蓮,21:41,00:24,2時43分,122.60000000000001,10,16,45.13,8.16,在花蓮跨日。
452,普悠瑪,True,,樹林,新左營,23:57,07:52,7時55分,352.9,34,35,44.58,9.63,逢週五行駛。在板橋跨日。
203,普悠瑪,True,,花蓮,樹林,05:50,08:38,2時48分,0.0,11,16,0.0,0.0,
401,普悠瑪,True,,臺東,樹林,04:58,09:05,4時07分,278.0,12,36,67.53,4.32,
207,自強3000,True,,壽豐,樹林,07:08,10:26,3時18分,139.2,16,15,42.18,11.49,花東民眾實名優先購票班次
405,自強3000,True,,臺東,樹林,06:13,10:43,4時30分,278.0,16,32,61.78,5.76,逢週五至日行駛。
209,自強,True,,花蓮,樹林,08:04,11:18,3時14分,0.0,12,15,0.0,0.0,
407,自強3000,True,,臺東,樹林,06:45,11:46,5時01分,278.0,23,25,55.42,8.27,花東民眾實名優先購票班次
411,自強3000,True,,新左營,樹林,07:43,07:43,0時00分,0.0,33,36,0.0,0.0,
213,自強3000,True,,花蓮,樹林,10:24,13:20,2時56分,0.0,14,13,0.0,0.0,逢週五至日行駛。
217,太魯閣,True,,花蓮,樹林,11:02,13:38,2時36分,0.0,9,18,0.0,0.0,
415,自強3000,True,,新左營,樹林,09:41,09:41,0時00分,0.0,29,40,0.0,0.0,親子座
215,自強3000,True,,花蓮,樹林,12:03,14:46,2時43分,0.0,9,18,0.0,0.0,逢週六、日行駛。
219,普悠瑪,True,,花蓮,樹林,12:14,15:12,2時58分,0.0,15,12,0.0,0.0,
221,自強,True,,花蓮,樹林,12:39,16:05,3時26分,0.0,16,11,0.0,0.0,
